"STATION","NAME","DATE","AWND","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT06","WT08"
"USW00094728","NY CITY CENTRAL PARK, NY US","2024-04-28","1.34",,"0.01","0.0","0.0",,"79","52","  190","  210","8.9","15.0","    1",,,,"    1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2024-04-29","3.36",,"0.02","0.0","0.0",,"87","63","  120","  120","12.1","25.9","    1",,,,"    1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2024-04-30","7.38",,"0.03","0.0","0.0",,"66","52","   50","   50","15.0","23.0","    1",,,,"    1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2024-05-01","2.91",,"0.02","0.0","0.0",,"80","53","  130","  120","10.1","19.9","    1",,,,"    1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2024-05-02","3.58",,"0.00","0.0","0.0",,"79","53","   30","   30","14.1","23.9","    1",,,,"    1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2024-05-03","5.37",,"0.00","0.0","0.0",,"65","52","   60","   80","15.0","21.9",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2024-05-04","4.92",,"0.00","0.0","0.0",,"63","49","  120","  100","10.1","21.0",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2024-05-05","4.70",,"0.31","0.0","0.0",,"54","49","  130","  130","12.1","21.9","    1",,,,"    1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2024-05-06","2.24",,"0.00","0.0","0.0",,"74","53","  210","  250","8.1","13.0","    1",,,,"    1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2024-05-07","3.36",,"0.00","0.0","0.0",,"80","59","   30","  130","12.1","19.0",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2024-05-08","3.80",,"0.21","0.0","0.0",,"84","65","  240","  210","13.0","25.9","    1",,,,"    1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2024-05-09","5.82",,"0.00","0.0","0.0",,"70","56","  300","  120","13.0","21.0",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2024-05-10","6.04",,"0.23","0.0","0.0",,"56","48","   60","   40","16.1","25.1","    1",,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2024-05-11","3.13",,"0.00","0.0","0.0",,"64","47","   50","  190","13.0","25.1","    1",,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2024-05-12","2.68",,"0.15","0.0","0.0",,"57","48","  250","  220","8.9","16.1","    1",,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2024-05-13","3.80",,"0.00","0.0","0.0",,"65","49","  220","  250","10.1","17.0",,,,,"    1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2024-05-14","1.79",,"0.03","0.0","0.0",,"72","55","  180","  220","8.1","16.1","    1",,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2024-05-15","7.61",,"0.28","0.0","0.0",,"64","59","   40","   70","17.0","33.1","    1",,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2024-05-16","8.28",,"0.27","0.0","0.0",,"64","59","   50","   40","17.0","29.1","    1",,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2024-05-17","4.47",,"0.00","0.0","0.0",,"72","58","   60","   60","18.1","28.0","    1",,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2024-05-18","3.80",,"0.04","0.0","0.0",,"69","59","   60","   80","10.1","15.0","    1",,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2024-05-19","4.25",,"0.00","0.0","0.0",,"75","56","   80","   50","13.0","19.9",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2024-05-20","3.58",,"0.00","0.0","0.0",,"74","55","  150","  130","8.9","19.9","    1",,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2024-05-21","2.91",,"0.00","0.0","0.0",,"83","58","  240","  110","8.9","16.1",,,,,"    1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2024-05-22","5.14",,"0.00","0.0","0.0",,"84","67","  250","  200","10.1","21.9",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2024-05-23","2.91",,"0.78","0.0","0.0",,"79","67","  260","  260","12.1","23.9","    1","    1","    1",,
"USW00094728","NY CITY CENTRAL PARK, NY US","2024-05-24","2.46",,"0.00","0.0","0.0",,"84","68","  280","  290","12.1","19.9",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2024-05-25","2.46",,"0.00","0.0","0.0",,"81","66","  130","  340","10.1","17.0",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2024-05-26","2.91",,"0.00","0.0","0.0",,"82","65","  140","  180","8.1","19.0","    1",,,,"    1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2024-05-27","2.91",,"0.96","0.0","0.0",,"73","66","  140","  190","12.1","25.1","    1","    1","    1",,
"USW00094728","NY CITY CENTRAL PARK, NY US","2024-05-28","6.49",,"0.00","0.0","0.0",,"79","65","  300","  220","16.1","29.1","    1",,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2024-05-29","3.58",,"0.65","0.0","0.0",,"76","60","  220","  220","17.0","30.0","    1",,"    1",,
"USW00094728","NY CITY CENTRAL PARK, NY US","2024-05-30","4.92",,"0.18","0.0","0.0",,"71","57","   50","   10","15.0","19.9",,,,,"    1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2024-05-31","4.47",,"0.00","0.0","0.0",,"75","59","  300","  240","12.1","21.9",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2024-06-01","2.91",,"0.00","0.0","0.0",,"83","60","  290","  210","8.9","17.0",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2024-06-02","2.46",,"0.00","0.0","0.0",,"81","67","  230","  230","10.1","19.0",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2024-06-03","2.91",,"0.00","0.0","0.0",,"86","72","   50","   40","10.1","14.1",,,,,"    1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2024-06-04","2.91",,"0.00","0.0","0.0",,"79","65","   60","  120","8.9","16.1","    1",,,,"    1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2024-06-05","2.46",,"0.00","0.0","0.0",,"79","65","  130","  180","10.1","21.9","    1",,,,"    1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2024-06-06","2.01",,"0.77","0.0","0.0",,"81","68","  300","  310","16.1","25.1","    1","    1","    1",,"    1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2024-06-07","3.36",,"0.00","0.0","0.0",,"82","66","  290","  290","17.0","32.0","    1",,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2024-06-08","5.59",,"0.00","0.0","0.0",,"76","63","  290","  250","15.0","28.0",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2024-06-09","4.92",,"0.00","0.0","0.0",,"74","65","  300","  220","14.1","31.1",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2024-06-10","6.04",,"0.00","0.0","0.0",,"75","62","  300","  310","13.0","21.9",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2024-06-11","3.13",,"0.00","0.0","0.0",,"73","59","   50","   50","8.9","14.1",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2024-06-12","2.24",,"0.00","0.0","0.0",,"76","61","  250","  290","8.1","13.0",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2024-06-13","3.13",,"0.00","0.0","0.0",,"84","65","  220","  200","12.1","19.9",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2024-06-14","3.36",,"0.28","0.0","0.0",,"85","65","  290","  290","17.0","33.1","    1","    1","    1",,
"USW00094728","NY CITY CENTRAL PARK, NY US","2024-06-15","3.58",,"0.00","0.0","0.0",,"80","65","   40","   60","14.1","21.0",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2024-06-16","5.14",,"0.00","0.0","0.0",,"78","63","   50","   40","13.0","19.9",,,,,
